a, time, T11, T12, T13, T14, T15, T21, T22, T23, T24, T25, T31, T32, T33, T34, T35, T41, T42, T43, T44, T45, T51, T52, T53, T54, T55
27, 2.700000e+003  2.496980e+000 2.925775e+000 3.142879e+000 3.333158e+000 3.652337e+000 2.376818e+000 2.893715e+000 3.227308e+000 3.511002e+000 3.840135e+000 2.385183e+000 2.937516e+000 3.298089e+000 3.587705e+000 3.884511e+000 2.509161e+000 3.167692e+000 3.540971e+000 3.784980e+000 3.972478e+000 3.152385e+000 3.991932e+000 4.300080e+000 4.399316e+000 4.307742e+000 
28, 2.800000e+003  2.496403e+000 2.925904e+000 3.145509e+000 3.337344e+000 3.654609e+000 2.375862e+000 2.894637e+000 3.233669e+000 3.520512e+000 3.845180e+000 2.385047e+000 2.940974e+000 3.308254e+000 3.600912e+000 3.891177e+000 2.511215e+000 3.176278e+000 3.556671e+000 3.802153e+000 3.980532e+000 3.155404e+000 4.001185e+000 4.313807e+000 4.412626e+000 4.313610e+000 
29, 2.900000e+003  2.495945e+000 2.926145e+000 3.148043e+000 3.341255e+000 3.656691e+000 2.375144e+000 2.895801e+000 3.239891e+000 3.529535e+000 3.849879e+000 2.385155e+000 2.944665e+000 3.318232e+000 3.613556e+000 3.897449e+000 2.513360e+000 3.184757e+000 3.571818e+000 3.818490e+000 3.988094e+000 3.158253e+000 4.009847e+000 4.326602e+000 4.424957e+000 4.318999e+000 
30, 3.000000e+003  2.495590e+000 2.926485e+000 3.150486e+000 3.344913e+000 3.658605e+000 2.374635e+000 2.897183e+000 3.245976e+000 3.538103e+000 3.854264e+000 2.385476e+000 2.948555e+000 3.328017e+000 3.625665e+000 3.903360e+000 2.515572e+000 3.193112e+000 3.586426e+000 3.834032e+000 3.995202e+000 3.160942e+000 4.017964e+000 4.338538e+000 4.436393e+000 4.323957e+000 
31, 3.100000e+003  2.495324e+000 2.926910e+000 3.152845e+000 3.348342e+000 3.660370e+000 2.374310e+000 2.898756e+000 3.251926e+000 3.546246e+000 3.858366e+000 2.385981e+000 2.952615e+000 3.337607e+000 3.637264e+000 3.908940e+000 2.517834e+000 3.201329e+000 3.600505e+000 3.848819e+000 4.001890e+000 3.163482e+000 4.025578e+000 4.349683e+000 4.447010e+000 4.328527e+000 
32, 3.200000e+003  2.495137e+000 2.927410e+000 3.155123e+000 3.351559e+000 3.662001e+000 2.374147e+000 2.900499e+000 3.257742e+000 3.553993e+000 3.862210e+000 2.386647e+000 2.956817e+000 3.346996e+000 3.648379e+000 3.914215e+000 2.520127e+000 3.209396e+000 3.614068e+000 3.862890e+000 4.008190e+000 3.165882e+000 4.032728e+000 4.360098e+000 4.456877e+000 4.332746e+000 
33, 3.300000e+003  2.495016e+000 2.927975e+000 3.157324e+000 3.354583e+000 3.663512e+000 2.374126e+000 2.902390e+000 3.263428e+000 3.561368e+000 3.865818e+000 2.387450e+000 2.961136e+000 3.356184e+000 3.659034e+000 3.919207e+000 2.522438e+000 3.217303e+000 3.627131e+000 3.876282e+000 4.014130e+000 3.168152e+000 4.039448e+000 4.369840e+000 4.466056e+000 4.336648e+000 
34, 3.400000e+003  2.494954e+000 2.928596e+000 3.159453e+000 3.357430e+000 3.664915e+000 2.374229e+000 2.904409e+000 3.268984e+000 3.568397e+000 3.869211e+000 2.388373e+000 2.965549e+000 3.365167e+000 3.669250e+000 3.923937e+000 2.524755e+000 3.225042e+000 3.639706e+000 3.889029e+000 4.019736e+000 3.170300e+000 4.045770e+000 4.378961e+000 4.474605e+000 4.340260e+000 
35, 3.500000e+003  2.494943e+000 2.929265e+000 3.161513e+000 3.360115e+000 3.666221e+000 2.374443e+000 2.906540e+000 3.274414e+000 3.575101e+000 3.872407e+000 2.389397e+000 2.970033e+000 3.373945e+000 3.679049e+000 3.928426e+000 2.527068e+000 3.232605e+000 3.651808e+000 3.901166e+000 4.025032e+000 3.172333e+000 4.051724e+000 4.387507e+000 4.482574e+000 4.343611e+000 
36, 3.600000e+003  2.494976e+000 2.929975e+000 3.163508e+000 3.362650e+000 3.667439e+000 2.374752e+000 2.908766e+000 3.279718e+000 3.581502e+000 3.875423e+000 2.390507e+000 2.974571e+000 3.382518e+000 3.688452e+000 3.932688e+000 2.529367e+000 3.239989e+000 3.663453e+000 3.912725e+000 4.030038e+000 3.174259e+000 4.057335e+000 4.395523e+000 4.490010e+000 4.346722e+000 
