a, time, T11, T12, T13, T14, T15, T21, T22, T23, T24, T25, T31, T32, T33, T34, T35, T41, T42, T43, T44, T45, T51, T52, T53, T54, T55
11, 1.100000e+003  2.535936e+000  2.949573e+000  3.084565e+000  3.211583e+000  3.573177e+000  2.447215e+000  2.930083e+000  3.106864e+000  3.272865e+000  3.686890e+000  2.445649e+000  2.936666e+000  3.117456e+000  3.286074e+000  3.699906e+000  2.509349e+000  3.033600e+000  3.217312e+000  3.376382e+000  3.749024e+000  3.074130e+000  3.731258e+000  3.902911e+000  3.993268e+000  4.111370e+000  
12, 1.200000e+003  2.528114e+000  2.944418e+000  3.089988e+000  3.226192e+000  3.585246e+000  2.433914e+000  2.921677e+000  3.115865e+000  3.297031e+000  3.707355e+000  2.432445e+000  2.929786e+000  3.129175e+000  3.313542e+000  3.722556e+000  2.502365e+000  3.039003e+000  3.242042e+000  3.414357e+000  3.775806e+000  3.082239e+000  3.762022e+000  3.949735e+000  4.043796e+000  4.139371e+000  
13, 1.300000e+003  2.521718e+000  2.939953e+000  3.095122e+000  3.239521e+000  3.595528e+000  2.422735e+000  2.914185e+000  3.124702e+000  3.319844e+000  3.725321e+000  2.421456e+000  2.923973e+000  3.141001e+000  3.339924e+000  3.742730e+000  2.497275e+000  3.045204e+000  3.266645e+000  3.450862e+000  3.799860e+000  3.089880e+000  3.789960e+000  3.992572e+000  4.089528e+000  4.163690e+000  
14, 1.400000e+003  2.516464e+000  2.936132e+000  3.099986e+000  3.251671e+000  3.604357e+000  2.413323e+000  2.907615e+000  3.133372e+000  3.341317e+000  3.741191e+000  2.412323e+000  2.919225e+000  3.152907e+000  3.365191e+000  3.760817e+000  2.493716e+000  3.052118e+000  3.290993e+000  3.485820e+000  3.821584e+000  3.097056e+000  3.815405e+000  4.031772e+000  4.130945e+000  4.184949e+000  
15, 1.500000e+003  2.512134e+000  2.932899e+000  3.104598e+000  3.262742e+000  3.611995e+000  2.405388e+000  2.901946e+000  3.141874e+000  3.361485e+000  3.755295e+000  2.404753e+000  2.915518e+000  3.164863e+000  3.389337e+000  3.777131e+000  2.491400e+000  3.059659e+000  3.314981e+000  3.519198e+000  3.841307e+000  3.103781e+000  3.838640e+000  4.067661e+000  4.168482e+000  4.203642e+000  
16, 1.600000e+003  2.508553e+000  2.930201e+000  3.108975e+000  3.272833e+000  3.618648e+000  2.398697e+000  2.897143e+000  3.150207e+000  3.380403e+000  3.767896e+000  2.398506e+000  2.912806e+000  3.176840e+000  3.412378e+000  3.791928e+000  2.490095e+000  3.067735e+000  3.338525e+000  3.550995e+000  3.859294e+000  3.110072e+000  3.859907e+000  4.100537e+000  4.202538e+000  4.220167e+000  
17, 1.700000e+003  2.505588e+000  2.927981e+000  3.113134e+000  3.282036e+000  3.624480e+000  2.393059e+000  2.893160e+000  3.158373e+000  3.398135e+000  3.779212e+000  2.393386e+000  2.911033e+000  3.188810e+000  3.434341e+000  3.805419e+000  2.489613e+000  3.076258e+000  3.361556e+000  3.581232e+000  3.875766e+000  3.115952e+000  3.879415e+000  4.130676e+000  4.233470e+000  4.234844e+000  
18, 1.800000e+003  2.503131e+000  2.926187e+000  3.117090e+000  3.290438e+000  3.629622e+000  2.388318e+000  2.889943e+000  3.166371e+000  3.414748e+000  3.789423e+000  2.389229e+000  2.910134e+000  3.200748e+000  3.455262e+000  3.817776e+000  2.489802e+000  3.085144e+000  3.384020e+000  3.609948e+000  3.890907e+000  3.121445e+000  3.897347e+000  4.158328e+000  4.261599e+000  4.247937e+000  
19, 1.900000e+003  2.501095e+000  2.924771e+000  3.120857e+000  3.298121e+000  3.634180e+000  2.384344e+000  2.887436e+000  3.174204e+000  3.430314e+000  3.798677e+000  2.385901e+000  2.910042e+000  3.212628e+000  3.475184e+000  3.829140e+000  2.490538e+000  3.094315e+000  3.405879e+000  3.637192e+000  3.904870e+000  3.126577e+000  3.913862e+000  4.183722e+000  4.287211e+000  4.259662e+000  
20, 2.000000e+003  2.499412e+000  2.923689e+000  3.124448e+000  3.305155e+000  3.638241e+000  2.381031e+000  2.885581e+000  3.181873e+000  3.444904e+000  3.807096e+000  2.383285e+000  2.910685e+000  3.224427e+000  3.494150e+000  3.839633e+000  2.491718e+000  3.103698e+000  3.427102e+000  3.663021e+000  3.917783e+000  3.131372e+000  3.929099e+000  4.207066e+000  4.310565e+000  4.270201e+000  
